Напряжение[B], Время[c]
0.0006,2.5439
0.0011,2.5439
0.0016,2.5439
0.0021,2.5342
0.0027,2.5391
0.0032,2.5391
0.0037,2.5439
0.0042,2.5439
0.0048,2.5439
0.0053,2.5391
0.0058,2.5439
0.0063,2.5391
0.0068,2.5342
0.0074,2.5391
0.0079,2.5391
0.0084,2.5391
0.0089,2.5439
0.0095,2.5391
0.0100,2.5439
0.0105,2.5439
0.0110,2.5439
0.0118,2.5439
0.0123,2.5439
0.0128,2.5391
0.0134,2.5439
0.0139,2.5439
0.0144,2.5391
0.0149,2.5391
0.0155,2.5439
0.0161,2.5342
0.0166,2.5439
0.0172,2.5439
0.0177,2.5391
0.0182,2.5391
0.0187,2.5342
0.0193,2.5439
0.0198,2.5391
0.0203,2.5488
0.0208,2.5439
0.0213,2.5342
0.0219,2.5342
0.0224,2.5391
0.0229,2.5391
0.0234,2.5342
0.0240,2.5293
0.0245,2.5439
0.0250,2.5439
0.0255,2.5391
0.0261,2.5439
0.0266,2.5439
0.0271,2.5342
0.0276,2.5391
0.0281,2.5439
0.0287,2.5439
0.0292,2.5439
0.0297,2.5439
0.0302,2.5439
0.0308,2.5439
0.0313,2.5439
0.0318,2.5391
0.0323,2.5439
0.0329,2.5439
0.0334,2.5439
0.0339,2.5391
0.0344,2.5439
0.0349,2.5439
0.0355,2.5439
0.0360,2.5342
0.0365,2.5391
0.0370,2.5391
0.0376,2.5439
0.0381,2.5439
0.0386,2.5391
0.0391,2.5439
0.0396,2.5439
0.0402,2.5391
0.0407,2.5391
0.0412,2.5439
0.0417,2.5439
0.0423,2.5439
0.0428,2.5439
0.0433,2.5391
0.0438,2.5439
0.0443,2.5439
0.0449,2.5391
0.0454,2.5439
0.0459,2.5391
0.0464,2.5439
0.0470,2.5342
0.0475,2.5391
0.0480,2.5391
0.0485,2.5391
0.0491,2.5439
0.0496,2.5439
0.0501,2.5391
0.0506,2.5342
0.0511,2.5439
0.0517,2.5391
0.0522,2.5391
0.0527,2.5342
0.0532,2.5391
0.0538,2.5342
0.0543,2.5391
0.0548,2.5391
0.0553,2.5439
0.0559,2.5342
0.0564,2.5439
0.0569,2.5391
0.0574,2.5439
0.0580,2.5439
0.0585,2.5439
0.0590,2.5391
0.0595,2.5342
0.0601,2.5391
0.0606,2.5439
0.0611,2.5391
0.0616,2.5439
0.0622,2.5439
0.0627,2.5391
0.0632,2.5488
0.0637,2.5439
0.0643,2.5439
0.0648,2.5439
0.0653,2.5439
0.0658,2.5439
0.0664,2.5391
0.0669,2.5439
0.0674,2.5391
0.0679,2.5391
0.0685,2.5439
0.0690,2.5342
0.0695,2.5391
0.0700,2.5391
0.0706,2.5391
0.0711,2.5439
0.0716,2.5439
0.0722,2.5439
0.0767,2.5391
0.0772,2.5439
0.0778,2.5391
0.0783,2.5439
0.0788,2.5391
0.0794,2.5342
0.0799,2.5439
0.0804,2.5391
0.0810,2.5439
0.0815,2.5391
0.0821,2.5439
0.0827,2.5293
0.0832,2.5439
0.0838,2.5439
0.0843,2.5439
0.0849,2.5439
0.0854,2.5439
0.0860,2.5391
0.0865,2.5391
0.0870,2.5342
0.0876,2.5391
0.0881,2.5439
0.0886,2.5391
0.0891,2.5439
0.0897,2.5391
0.0902,2.5342
0.0907,2.5342
0.0912,2.5439
0.0918,2.5439
0.0923,2.5439
0.0928,2.5439
0.0933,2.5342
0.0939,2.5342
0.0944,2.5342
0.0949,2.5439
0.0955,2.5391
0.0960,2.5391
0.0965,2.5342
0.0970,2.5439
0.0976,2.5439
0.0981,2.5439
0.0986,2.5439
0.0991,2.5391
0.0996,2.5391
0.1002,2.5439
0.1007,2.5439
0.1012,2.5391
0.1017,2.5391
0.1023,2.5439
0.1028,2.5439
0.1033,2.5439
0.1038,2.5439
0.1044,2.5391
0.1049,2.5439
0.1054,2.5439
0.1059,2.5342
0.1064,2.5439
0.1070,2.5439
0.1075,2.5439
0.1080,2.5439
0.1085,2.5391
0.1091,2.5391
0.1096,2.5391
0.1101,2.5439
0.1106,2.5391
0.1112,2.5391
0.1117,2.5391
0.1122,2.5391
0.1127,2.5391
0.1133,2.5439
0.1138,2.5439
0.1143,2.5391
0.1148,2.5488
0.1154,2.5391
0.1159,2.5439
0.1164,2.5391
0.1169,2.5293
0.1174,2.5488
0.1180,2.5439
0.1185,2.5439
0.1190,2.5391
0.1195,2.5391
0.1201,2.5439
0.1206,2.5439
0.1211,2.5439
0.1216,2.5342
0.1221,2.5439
0.1227,2.5439
0.1232,2.5439
0.1237,2.5439
0.1242,2.5439
0.1248,2.5439
0.1253,2.5391
0.1258,2.5391
0.1263,2.5439
0.1268,2.5439
0.1274,2.5439
0.1279,2.5391
0.1284,2.5391
0.1289,2.5439
0.1295,2.5391
0.1300,2.5342
0.1305,2.5391
0.1310,2.5439
0.1316,2.5439
0.1321,2.5391
0.1326,2.5439
0.1331,2.5342
0.1336,2.5439
0.1342,2.5391
0.1347,2.5342
0.1352,2.5391
0.1357,2.5439
0.1363,2.5439
0.1368,2.5439
0.1373,2.5439
0.1378,2.5391
0.1383,2.5342
0.1389,2.5391
0.1394,2.5439
0.1399,2.5439
0.1404,2.5439
0.1410,2.5439
0.1415,2.5439
0.1420,2.5439
0.1425,2.5439
0.1431,2.5342
0.1436,2.5439
0.1441,2.5391
0.1446,2.5391
0.1451,2.5439
0.1457,2.5439
0.1462,2.5439
0.1467,2.5391
0.1472,2.5391
0.1478,2.5342
0.1483,2.5391
0.1488,2.5488
0.1493,2.5439
0.1498,2.5342
0.1504,2.5391
0.1509,2.5391
0.1514,2.5439
0.1519,2.5391
0.1525,2.5391
0.1530,2.5439
0.1535,2.5439
0.1541,2.5342
0.1546,2.5439
0.1551,2.5439
0.1556,2.5391
0.1562,2.5439
0.1567,2.5439
0.1572,2.5439
0.1577,2.5439
0.1582,2.5439
0.1588,2.5391
0.1593,2.5391
0.1598,2.5439
0.1603,2.5439
0.1609,2.5439
0.1614,2.5342
0.1619,2.5439
0.1624,2.5439
0.1630,2.5439
0.1635,2.5391
