Напряжение[B], Время[c]
0.0006,1.5967
0.0011,1.5918
0.0017,1.5918
0.0023,1.5967
0.0028,1.5967
0.0034,1.5967
0.0040,1.5967
0.0046,1.6016
0.0051,1.6016
0.0057,1.5967
0.0062,1.5918
0.0068,1.5967
0.0074,1.5918
0.0079,1.5967
0.0085,1.5967
0.0090,1.5918
0.0096,1.5869
0.0101,1.5918
0.0106,1.5967
0.0112,1.5918
0.0117,1.6016
0.0122,1.5967
0.0127,1.5967
0.0133,1.5967
0.0138,1.5967
0.0143,1.5967
0.0149,1.5967
0.0155,1.5918
0.0162,1.5967
0.0170,1.5967
0.0178,1.5967
0.0184,1.5967
0.0190,1.5967
0.0195,1.5918
0.0201,1.5967
0.0206,1.5967
0.0211,1.5967
0.0216,1.5918
0.0222,1.5967
0.0227,1.5967
0.0235,1.5967
0.0240,1.5967
0.0246,1.5918
0.0251,1.5967
0.0256,1.5967
0.0261,1.5918
0.0266,1.5967
0.0272,1.5918
0.0277,1.5967
0.0282,1.5967
0.0287,1.5967
0.0293,1.5967
0.0298,1.5918
0.0303,1.5967
0.0308,1.5967
0.0314,1.5918
0.0319,1.5967
0.0324,1.5967
0.0329,1.5967
0.0334,1.6016
0.0340,1.5967
0.0345,1.5967
0.0350,1.5967
0.0355,1.5918
0.0361,1.5967
0.0366,1.6016
0.0371,1.5918
0.0376,1.5918
0.0382,1.5967
0.0387,1.5918
0.0392,1.6016
0.0397,1.5967
0.0403,1.5967
0.0408,1.5967
0.0413,1.5967
0.0418,1.5918
0.0424,1.5967
0.0429,1.5967
0.0434,1.5967
0.0439,1.5967
0.0445,1.6016
0.0450,1.5967
0.0455,1.5967
0.0460,1.5967
0.0465,1.5918
0.0471,1.5967
0.0476,1.5869
0.0481,1.6016
0.0486,1.5967
0.0492,1.5967
0.0497,1.6016
0.0502,1.5967
0.0507,1.5918
0.0512,1.5967
0.0518,1.5967
0.0523,1.5918
0.0528,1.5967
0.0533,1.5967
0.0539,1.5967
0.0544,1.5967
0.0549,1.5967
0.0554,1.5918
0.0560,1.5918
0.0565,1.5967
0.0570,1.5967
0.0575,1.5967
0.0580,1.5967
0.0586,1.5918
0.0591,1.5967
0.0596,1.5967
0.0601,1.5967
0.0607,1.6016
0.0612,1.5967
0.0617,1.5918
0.0622,1.6016
0.0628,1.5967
0.0634,1.5967
0.0640,1.5967
0.0646,1.5967
0.0651,1.5967
0.0657,1.5869
0.0662,1.5967
0.0667,1.5967
0.0673,1.5967
0.0678,1.5967
0.0684,1.5918
0.0689,1.5967
0.0694,1.5918
0.0700,1.6016
0.0705,1.5967
0.0710,1.6016
0.0715,1.5967
0.0721,1.5967
0.0726,1.5918
0.0733,1.5967
0.0739,1.5967
0.0744,1.5967
0.0750,1.5918
0.0755,1.5967
0.0761,1.5967
0.0766,1.5967
0.0773,1.5918
0.0778,1.5967
0.0783,1.5967
0.0789,1.5967
0.0794,1.5918
0.0799,1.6016
0.0804,1.5967
0.0809,1.5967
0.0815,1.5967
0.0820,1.5967
0.0825,1.5967
0.0830,1.5967
