Напряжение[B], Время[c]
0.0006,2.0557
0.0012,2.0605
0.0017,2.0654
0.0023,2.0557
0.0028,2.0654
0.0036,2.0654
0.0043,2.0605
0.0049,2.0654
0.0055,2.0654
0.0061,2.0557
0.0067,2.0605
0.0074,2.0605
0.0081,2.0605
0.0086,2.0557
0.0093,2.0654
0.0099,2.0605
0.0104,2.0654
0.0110,2.0654
0.0116,2.0654
0.0122,2.0605
0.0128,2.0654
0.0134,2.0605
0.0139,2.0605
0.0144,2.0605
0.0180,2.0605
0.0185,2.0557
0.0191,2.0605
0.0196,2.0605
0.0202,2.0605
0.0207,2.0654
0.0213,2.0557
0.0218,2.0605
0.0223,2.0654
0.0229,2.0654
0.0234,2.0605
0.0239,2.0605
0.0244,2.0605
0.0250,2.0605
0.0255,2.0654
0.0260,2.0605
0.0265,2.0605
0.0270,2.0605
0.0276,2.0605
0.0281,2.0605
0.0286,2.0605
0.0292,2.0605
0.0297,2.0654
0.0303,2.0557
0.0308,2.0557
0.0314,2.0654
0.0319,2.0557
0.0325,2.0557
0.0330,2.0654
0.0335,2.0654
0.0341,2.0605
0.0346,2.0557
0.0351,2.0605
0.0357,2.0654
0.0362,2.0557
0.0367,2.0605
0.0373,2.0557
0.0378,2.0557
0.0383,2.0605
0.0389,2.0605
0.0394,2.0557
0.0400,2.0605
0.0405,2.0654
0.0410,2.0605
0.0416,2.0654
0.0421,2.0605
0.0427,2.0605
0.0432,2.0605
0.0437,2.0605
0.0443,2.0605
0.0448,2.0654
0.0453,2.0605
0.0458,2.0605
0.0464,2.0605
0.0470,2.0654
0.0476,2.0557
0.0482,2.0557
0.0488,2.0654
0.0493,2.0654
0.0498,2.0605
0.0504,2.0605
0.0509,2.0654
0.0515,2.0605
0.0521,2.0654
0.0526,2.0605
0.0532,2.0605
0.0538,2.0654
0.0543,2.0605
0.0549,2.0605
0.0555,2.0605
0.0561,2.0605
0.0566,2.0654
0.0572,2.0605
0.0577,2.0557
0.0583,2.0557
0.0588,2.0605
0.0593,2.0605
0.0598,2.0605
0.0604,2.0654
0.0609,2.0605
0.0614,2.0557
0.0620,2.0557
0.0625,2.0557
0.0630,2.0605
0.0636,2.0605
0.0642,2.0654
0.0647,2.0557
0.0653,2.0557
0.0659,2.0654
0.0664,2.0654
0.0670,2.0654
0.0676,2.0605
0.0681,2.0654
0.0687,2.0508
0.0692,2.0654
0.0697,2.0605
0.0703,2.0605
0.0708,2.0605
0.0713,2.0605
0.0719,2.0654
0.0724,2.0605
0.0730,2.0508
0.0736,2.0605
0.0741,2.0605
0.0747,2.0557
0.0753,2.0605
0.0758,2.0654
0.0763,2.0654
0.0769,2.0654
0.0774,2.0654
0.0779,2.0654
0.0785,2.0605
0.0791,2.0605
0.0796,2.0654
0.0802,2.0605
0.0807,2.0654
0.0813,2.0557
0.0819,2.0654
0.0824,2.0605
0.0829,2.0654
0.0835,2.0605
0.0840,2.0605
0.0846,2.0605
0.0851,2.0605
0.0857,2.0605
0.0863,2.0654
0.0868,2.0654
0.0873,2.0605
0.0879,2.0654
0.0885,2.0654
0.0891,2.0654
0.0896,2.0605
0.0902,2.0508
0.0907,2.0654
0.0913,2.0605
0.0918,2.0605
0.0924,2.0605
0.0929,2.0654
0.0935,2.0605
0.0941,2.0654
0.0946,2.0654
0.0952,2.0654
0.0957,2.0557
0.0963,2.0654
0.0968,2.0654
0.0974,2.0557
0.0980,2.0557
0.0985,2.0605
0.0991,2.0654
0.0997,2.0605
