Время[c], Напряжение[B]
0.0006,2.5684
0.0011,2.5635
0.0016,2.5684
0.0021,2.5732
0.0027,2.5635
0.0032,2.5732
0.0037,2.5635
0.0042,2.5684
0.0048,2.5684
0.0053,2.5684
0.0058,2.5732
0.0063,2.5732
0.0068,2.5635
0.0074,2.5732
0.0079,2.5684
0.0084,2.5732
0.0089,2.5732
0.0095,2.5684
0.0100,2.5586
0.0105,2.5732
0.0110,2.5732
0.0116,2.5635
0.0121,2.5635
0.0126,2.5684
0.0131,2.5635
0.0136,2.5684
0.0142,2.5732
0.0147,2.5732
0.0153,2.5684
0.0158,2.5684
0.0164,2.5732
0.0169,2.5684
0.0174,2.5635
0.0180,2.5684
0.0185,2.5684
0.0190,2.5732
0.0195,2.5684
0.0200,2.5684
0.0206,2.5684
0.0211,2.5684
0.0216,2.5684
0.0221,2.5635
0.0227,2.5684
0.0232,2.5635
0.0237,2.5635
0.0242,2.5684
0.0248,2.5732
0.0253,2.5732
0.0258,2.5732
0.0263,2.5684
0.0268,2.5635
0.0274,2.5732
0.0279,2.5586
0.0284,2.5635
0.0289,2.5684
0.0295,2.5635
0.0300,2.5635
0.0305,2.5684
0.0310,2.5684
0.0316,2.5732
0.0321,2.5732
0.0326,2.5684
0.0331,2.5684
0.0336,2.5684
0.0342,2.5732
0.0347,2.5732
0.0352,2.5732
0.0357,2.5732
0.0363,2.5684
0.0368,2.5635
0.0373,2.5684
0.0378,2.5684
0.0383,2.5586
0.0389,2.5732
0.0394,2.5684
0.0399,2.5732
0.0404,2.5684
0.0410,2.5684
0.0415,2.5732
0.0420,2.5732
0.0426,2.5684
0.0431,2.5684
0.0437,2.5732
0.0443,2.5684
0.0448,2.5684
0.0454,2.5684
0.0459,2.5684
0.0465,2.5635
0.0470,2.5635
0.0476,2.5732
0.0481,2.5684
0.0487,2.5732
0.0492,2.5732
0.0497,2.5732
0.0502,2.5684
0.0508,2.5732
0.0513,2.5732
0.0518,2.5684
0.0524,2.5684
0.0529,2.5684
0.0534,2.5684
0.0540,2.5684
0.0545,2.5684
0.0551,2.5635
0.0556,2.5684
0.0562,2.5684
0.0568,2.5732
0.0573,2.5684
0.0578,2.5732
0.0584,2.5684
0.0589,2.5684
0.0594,2.5732
0.0600,2.5635
0.0605,2.5732
0.0610,2.5635
0.0615,2.5586
0.0621,2.5635
0.0626,2.5635
0.0631,2.5635
0.0636,2.5684
0.0641,2.5684
0.0647,2.5732
0.0652,2.5732
0.0657,2.5635
0.0662,2.5684
0.0668,2.5684
0.0673,2.5732
0.0678,2.5684
0.0683,2.5732
0.0689,2.5684
0.0694,2.5732
0.0699,2.5635
0.0704,2.5635
0.0710,2.5732
0.0715,2.5684
0.0720,2.5684
0.0725,2.5635
0.0731,2.5684
0.0736,2.5684
0.0741,2.5732
0.0746,2.5684
0.0752,2.5684
0.0757,2.5684
0.0762,2.5684
0.0767,2.5635
0.0772,2.5732
0.0778,2.5635
0.0783,2.5635
0.0788,2.5684
0.0793,2.5586
0.0799,2.5635
0.0804,2.5684
0.0809,2.5586
0.0814,2.5684
0.0820,2.5684
0.0825,2.5732
0.0830,2.5684
0.0835,2.5635
0.0841,2.5635
0.0846,2.5684
0.0851,2.5684
0.0856,2.5684
0.0862,2.5732
0.0867,2.5684
0.0872,2.5684
0.0877,2.5684
0.0883,2.5684
0.0888,2.5635
0.0893,2.5732
0.0898,2.5732
0.0904,2.5684
0.0909,2.5732
0.0914,2.5684
0.0919,2.5684
0.0924,2.5732
0.0930,2.5684
0.0935,2.5684
0.0940,2.5732
0.0945,2.5732
0.0951,2.5732
0.0956,2.5684
0.0961,2.5732
0.0966,2.5684
0.0972,2.5732
0.0977,2.5635
0.0982,2.5684
0.0987,2.5732
0.0992,2.5684
0.0998,2.5684
0.1003,2.5684
0.1008,2.5684
0.1013,2.5732
0.1019,2.5732
0.1024,2.5732
0.1029,2.5732
0.1034,2.5684
0.1039,2.5732
0.1045,2.5732
0.1050,2.5732
0.1055,2.5684
0.1060,2.5635
0.1066,2.5684
0.1071,2.5684
0.1076,2.5732
0.1081,2.5684
0.1087,2.5684
0.1092,2.5684
0.1097,2.5635
0.1102,2.5732
0.1107,2.5586
0.1113,2.5635
0.1118,2.5684
0.1123,2.5635
0.1128,2.5684
0.1134,2.5732
0.1139,2.5732
0.1144,2.5732
0.1149,2.5684
0.1155,2.5586
0.1160,2.5684
0.1165,2.5635
0.1170,2.5732
0.1175,2.5732
0.1181,2.5635
0.1186,2.5635
0.1191,2.5635
0.1196,2.5684
0.1202,2.5635
0.1207,2.5684
0.1212,2.5684
0.1217,2.5684
0.1223,2.5732
0.1228,2.5684
0.1233,2.5684
0.1238,2.5732
0.1244,2.5732
0.1249,2.5684
0.1254,2.5635
0.1259,2.5684
0.1264,2.5732
0.1270,2.5684
0.1275,2.5732
0.1280,2.5684
0.1285,2.5635
0.1291,2.5732
0.1296,2.5684
0.1301,2.5684
0.1306,2.5684
0.1312,2.5684
0.1317,2.5732
0.1322,2.5635
0.1327,2.5635
0.1333,2.5684
0.1338,2.5684
0.1343,2.5684
0.1348,2.5684
0.1354,2.5684
0.1359,2.5732
0.1364,2.5684
0.1369,2.5684
0.1375,2.5732
0.1380,2.5732
0.1385,2.5732
0.1390,2.5684
0.1396,2.5635
0.1401,2.5684
0.1406,2.5684
0.1411,2.5684
0.1417,2.5684
0.1422,2.5684
0.1427,2.5684
0.1432,2.5635
0.1438,2.5684
0.1443,2.5684
0.1448,2.5732
0.1453,2.5684
0.1459,2.5684
0.1464,2.5732
0.1469,2.5684
0.1474,2.5732
0.1480,2.5684
0.1485,2.5635
0.1490,2.5684
0.1496,2.5732
0.1501,2.5732
0.1506,2.5684
0.1511,2.5684
0.1517,2.5684
0.1522,2.5684
0.1527,2.5684
0.1532,2.5684
0.1538,2.5684
0.1543,2.5635
0.1548,2.5635
0.1553,2.5684
0.1559,2.5732
0.1564,2.5732
