Время[c], Напряжение[B]
0.0006,2.5684
0.0011,2.5586
0.0016,2.5586
0.0021,2.5635
0.0027,2.5635
0.0032,2.5684
0.0037,2.5635
0.0042,2.5635
0.0048,2.5537
0.0053,2.5586
0.0058,2.5635
0.0063,2.5635
0.0068,2.5586
0.0074,2.5635
0.0079,2.5635
0.0084,2.5635
0.0089,2.5586
0.0095,2.5635
0.0100,2.5635
0.0105,2.5537
0.0110,2.5635
0.0116,2.5586
0.0121,2.5586
0.0126,2.5635
0.0131,2.5635
0.0136,2.5635
0.0142,2.5635
0.0147,2.5635
0.0153,2.5635
0.0158,2.5635
0.0164,2.5635
0.0169,2.5635
0.0174,2.5635
0.0180,2.5635
0.0185,2.5537
0.0190,2.5586
0.0195,2.5635
0.0200,2.5635
0.0206,2.5635
0.0211,2.5586
0.0216,2.5586
0.0221,2.5635
0.0227,2.5586
0.0232,2.5635
0.0237,2.5586
0.0242,2.5635
0.0248,2.5586
0.0253,2.5684
0.0258,2.5635
0.0263,2.5635
0.0268,2.5635
0.0274,2.5635
0.0279,2.5586
0.0284,2.5635
0.0289,2.5635
0.0295,2.5635
0.0300,2.5684
0.0305,2.5635
0.0310,2.5635
0.0316,2.5488
0.0321,2.5684
0.0327,2.5635
0.0332,2.5635
0.0337,2.5684
0.0342,2.5635
0.0347,2.5635
0.0353,2.5635
0.0358,2.5586
0.0363,2.5684
0.0368,2.5635
0.0374,2.5635
0.0379,2.5635
0.0384,2.5684
0.0389,2.5635
0.0395,2.5635
0.0400,2.5635
0.0405,2.5586
0.0410,2.5586
0.0415,2.5635
0.0421,2.5635
0.0426,2.5684
0.0431,2.5635
0.0436,2.5488
0.0442,2.5635
0.0447,2.5586
0.0452,2.5586
0.0457,2.5635
0.0463,2.5684
0.0468,2.5635
0.0473,2.5635
0.0478,2.5635
0.0483,2.5635
0.0489,2.5635
0.0494,2.5635
0.0499,2.5635
0.0504,2.5635
0.0510,2.5635
0.0515,2.5635
0.0520,2.5635
0.0525,2.5635
0.0530,2.5635
0.0536,2.5586
0.0541,2.5635
0.0546,2.5635
0.0551,2.5635
0.0557,2.5635
0.0562,2.5635
0.0567,2.5635
0.0572,2.5635
0.0578,2.5635
0.0583,2.5586
0.0588,2.5635
0.0593,2.5635
0.0598,2.5684
0.0604,2.5635
0.0609,2.5586
0.0614,2.5586
0.0619,2.5635
0.0625,2.5635
0.0630,2.5635
0.0635,2.5635
0.0640,2.5635
0.0646,2.5635
0.0651,2.5537
0.0656,2.5635
0.0661,2.5586
0.0666,2.5586
0.0672,2.5635
0.0677,2.5586
0.0682,2.5635
0.0687,2.5635
0.0693,2.5635
0.0698,2.5635
0.0703,2.5635
0.0708,2.5537
0.0714,2.5586
0.0719,2.5635
0.0724,2.5635
0.0729,2.5635
0.0734,2.5635
0.0740,2.5684
0.0745,2.5684
0.0750,2.5586
0.0755,2.5635
0.0761,2.5635
0.0766,2.5635
0.0771,2.5635
0.0776,2.5635
0.0781,2.5635
0.0787,2.5586
0.0792,2.5635
0.0797,2.5684
0.0802,2.5586
0.0808,2.5586
0.0813,2.5635
0.0818,2.5635
0.0824,2.5586
0.0829,2.5635
0.0834,2.5635
0.0839,2.5586
0.0845,2.5635
0.0850,2.5635
0.0855,2.5635
0.0860,2.5586
0.0866,2.5635
0.0871,2.5635
0.0876,2.5586
0.0881,2.5635
0.0887,2.5586
0.0892,2.5586
0.0897,2.5635
0.0902,2.5635
0.0907,2.5635
0.0913,2.5635
0.0918,2.5635
0.0923,2.5586
0.0928,2.5586
0.0934,2.5537
0.0939,2.5586
0.0944,2.5586
0.0949,2.5537
0.0955,2.5635
0.0960,2.5635
0.0965,2.5635
0.0970,2.5635
0.0976,2.5635
0.0981,2.5586
0.0986,2.5537
0.0991,2.5586
0.0997,2.5635
0.1002,2.5586
0.1007,2.5586
0.1012,2.5586
0.1018,2.5586
0.1023,2.5635
0.1028,2.5635
0.1033,2.5586
0.1039,2.5635
0.1045,2.5537
0.1050,2.5586
0.1056,2.5586
0.1062,2.5586
0.1068,2.5586
0.1073,2.5635
0.1079,2.5635
0.1084,2.5635
0.1090,2.5635
0.1095,2.5635
0.1100,2.5635
0.1106,2.5635
0.1111,2.5635
0.1116,2.5635
0.1122,2.5635
0.1127,2.5586
0.1132,2.5586
0.1138,2.5684
0.1143,2.5537
0.1148,2.5537
0.1153,2.5635
0.1159,2.5635
0.1164,2.5586
0.1169,2.5586
0.1174,2.5635
0.1180,2.5635
0.1185,2.5635
0.1190,2.5537
0.1195,2.5586
0.1201,2.5684
