Время[c], Напряжение[В]
0.0006,2.4951
0.0012,2.4854
0.0017,2.4902
0.0022,2.4854
0.0028,2.4902
0.0033,2.4854
0.0038,2.4951
0.0044,2.4902
0.0049,2.4951
0.0055,2.4902
0.0060,2.4951
0.0065,2.4951
0.0071,2.4951
0.0076,2.4951
0.0082,2.4951
0.0087,2.4902
0.0093,2.4951
0.0098,2.4951
0.0104,2.4951
0.0127,2.4854
0.0133,2.4951
0.0139,2.4951
0.0144,2.4951
0.0150,2.4951
0.0157,2.4902
0.0163,2.4951
0.0169,2.4951
0.0175,2.4951
0.0184,2.4951
0.0192,2.4951
0.0198,2.4951
0.0204,2.4951
0.0210,2.4951
0.0216,2.4951
0.0221,2.4854
0.0227,2.4902
0.0232,2.4951
0.0238,2.4951
0.0244,2.4951
0.0249,2.4902
0.0255,2.4951
0.0261,2.4951
0.0267,2.4951
0.0273,2.4951
0.0278,2.4951
0.0284,2.4951
0.0290,2.4951
0.0296,2.4951
0.0301,2.4854
0.0307,2.4951
0.0313,2.4951
0.0318,2.4854
0.0324,2.4951
0.0330,2.4951
0.0336,2.4951
0.0342,2.4902
0.0347,2.4951
0.0353,2.4951
0.0359,2.4951
0.0364,2.4805
0.0370,2.4951
0.0376,2.4951
0.0381,2.4951
0.0386,2.4951
0.0391,2.4951
0.0397,2.4951
0.0402,2.4951
0.0408,2.4951
0.0413,2.4951
0.0419,2.4854
0.0425,2.4951
0.0430,2.4902
0.0436,2.4951
0.0442,2.4902
0.0448,2.4951
0.0454,2.4951
0.0459,2.4951
0.0465,2.4951
0.0471,2.4902
0.0477,2.4951
0.0483,2.4902
0.0488,2.4951
0.0494,2.4902
0.0499,2.4951
0.0505,2.4854
0.0510,2.4854
0.0516,2.4951
0.0522,2.4854
0.0528,2.4951
0.0534,2.4951
0.0541,2.4951
0.0549,2.4854
0.0556,2.4951
0.0563,2.4951
0.0569,2.4951
0.0575,2.4902
0.0581,2.4951
0.0588,2.4902
0.0594,2.4951
0.0599,2.4854
0.0604,2.4951
0.0610,2.4951
0.0616,2.4951
0.0621,2.4902
0.0627,2.4902
0.0633,2.4951
0.0638,2.4854
0.0644,2.4951
0.0650,2.4951
0.0655,2.4951
0.0661,2.4951
0.0667,2.4951
0.0673,2.4854
0.0678,2.4951
0.0684,2.4951
0.0690,2.4854
0.0695,2.4951
0.0701,2.4951
0.0706,2.4854
0.0711,2.4902
0.0717,2.4951
0.0723,2.4902
0.0728,2.4902
0.0734,2.4951
0.0740,2.4951
0.0745,2.4951
0.0751,2.4951
0.0756,2.4951
0.0762,2.4902
0.0767,2.4951
0.0772,2.4951
0.0777,2.4902
0.0783,2.4951
0.0788,2.4951
0.0793,2.4951
0.0798,2.4951
0.0804,2.4902
0.0809,2.4951
0.0814,2.4951
0.0820,2.4902
0.0825,2.4902
0.0830,2.4951
0.0835,2.4951
0.0841,2.4854
0.0846,2.4951
0.0852,2.4951
0.0857,2.4902
0.0863,2.4902
0.0869,2.4902
0.0874,2.4951
0.0880,2.4951
0.0885,2.4902
0.0891,2.4951
0.0896,2.4902
0.0902,2.4951
0.0909,2.4902
0.0914,2.4951
0.0920,2.4805
0.0926,2.4951
0.0932,2.4951
0.0937,2.4902
0.0943,2.4951
0.0948,2.4951
0.0954,2.4854
0.0960,2.4854
0.0966,2.4951
0.0972,2.4951
0.0978,2.4854
0.0984,2.4902
0.0990,2.4902
0.0996,2.4951
0.1002,2.4951
0.1007,2.4902
0.1013,2.4902
0.1019,2.4951
0.1025,2.4951
0.1031,2.4951
0.1037,2.4951
0.1042,2.4951
0.1048,2.4951
0.1053,2.4902
0.1059,2.4854
0.1065,2.4951
0.1070,2.4902
0.1076,2.4854
0.1082,2.4951
0.1088,2.4951
0.1093,2.4951
0.1099,2.4854
0.1105,2.4902
0.1110,2.4902
0.1116,2.4854
0.1122,2.4951
0.1127,2.4951
0.1133,2.4951
0.1139,2.4951
0.1145,2.4951
0.1151,2.4951
0.1157,2.4902
0.1163,2.4951
0.1169,2.4951
0.1175,2.4951
0.1181,2.4951
0.1187,2.4951
0.1193,2.4902
0.1198,2.4951
0.1204,2.4951
0.1209,2.4902
0.1215,2.4951
0.1221,2.4951
0.1226,2.4951
0.1232,2.4902
0.1238,2.4951
0.1243,2.4902
0.1249,2.4902
0.1254,2.4854
0.1260,2.4805
0.1266,2.4902
0.1271,2.4951
0.1277,2.4951
0.1282,2.4902
0.1288,2.4951
0.1294,2.4951
0.1300,2.4951
0.1306,2.4854
0.1313,2.4951
0.1318,2.4951
0.1324,2.4951
0.1330,2.4951
0.1336,2.4951
0.1341,2.4854
0.1346,2.4902
0.1352,2.4854
0.1357,2.4951
0.1363,2.4951
0.1369,2.4951
0.1375,2.4951
0.1380,2.4951
0.1386,2.4951
0.1392,2.4951
0.1397,2.4951
0.1403,2.4951
0.1408,2.4805
0.1414,2.4902
0.1419,2.4951
0.1425,2.4902
0.1430,2.4951
0.1436,2.4951
0.1441,2.4854
0.1446,2.4854
0.1452,2.4951
0.1457,2.4951
0.1462,2.4951
0.1468,2.4902
0.1473,2.4951
0.1478,2.4951
0.1484,2.4902
0.1490,2.4902
0.1495,2.4902
0.1500,2.4951
0.1506,2.4902
0.1511,2.4951
0.1517,2.4951
0.1524,2.4951
0.1530,2.4854
0.1536,2.4951
0.1550,2.4902
0.1557,2.4951
0.1563,2.4951
0.1568,2.4854
0.1574,2.4951
0.1579,2.4902
0.1585,2.4951
0.1590,2.4951
0.1595,2.4951
0.1600,2.4951
0.1606,2.4951
0.1611,2.4951
0.1616,2.4951
0.1621,2.4902
0.1627,2.4902
0.1632,2.4951
0.1637,2.4951
0.1642,2.4951
0.1648,2.4902
0.1653,2.4951
0.1658,2.4951
0.1663,2.4902
0.1669,2.4951
0.1674,2.4902
0.1679,2.4854
0.1685,2.4902
0.1690,2.4902
0.1695,2.4951
0.1701,2.4951
0.1706,2.4951
0.1711,2.4951
0.1716,2.4902
0.1722,2.4951
0.1727,2.4854
0.1732,2.4902
0.1737,2.4854
0.1742,2.4951
0.1748,2.4951
0.1753,2.4902
0.1758,2.4902
0.1763,2.4951
0.1769,2.4951
0.1774,2.4951
0.1779,2.4951
0.1784,2.4951
0.1790,2.4854
0.1795,2.4951
0.1800,2.4951
0.1805,2.4902
0.1811,2.4902
0.1816,2.4902
0.1821,2.4902
0.1826,2.4951
0.1831,2.4951
0.1837,2.4902
0.1842,2.4805
0.1847,2.4951
0.1853,2.4951
0.1858,2.4854
0.1863,2.4902
0.1868,2.4902
0.1874,2.4902
0.1879,2.4854
0.1884,2.4951
0.1889,2.4902
0.1894,2.4951
0.1900,2.4902
0.1905,2.4854
0.1910,2.4951
0.1915,2.4854
0.1921,2.4902
0.1926,2.4951
0.1931,2.4854
0.1936,2.4902
0.1942,2.4951
0.1947,2.4854
0.1952,2.4951
0.1957,2.4902
0.1962,2.4854
0.1968,2.4951
0.1973,2.4902
0.1978,2.4951
0.1983,2.4902
0.1989,2.4902
0.1994,2.4854
0.1999,2.4902
0.2005,2.4951
0.2010,2.4902
0.2015,2.4854
0.2021,2.4854
0.2026,2.4951
0.2031,2.4951
0.2036,2.4951
0.2041,2.4902
0.2047,2.4854
0.2052,2.4951
0.2057,2.4902
0.2062,2.4951
0.2068,2.4951
0.2073,2.4854
0.2078,2.4902
0.2083,2.4951
0.2089,2.4951
0.2094,2.4951
0.2099,2.4902
0.2104,2.4854
0.2109,2.4854
0.2115,2.4951
0.2120,2.4902
0.2125,2.4902
0.2130,2.4902
0.2136,2.4854
0.2141,2.4902
0.2146,2.4902
0.2151,2.4902
0.2157,2.4902
0.2162,2.4902
0.2167,2.4902
0.2172,2.4951
0.2177,2.4902
0.2183,2.4902
0.2188,2.4951
0.2193,2.4951
0.2199,2.4951
0.2204,2.4902
0.2209,2.4902
0.2214,2.4805
0.2219,2.4902
0.2225,2.4951
0.2230,2.4902
0.2235,2.4951
0.2240,2.4902
0.2246,2.4854
0.2251,2.4902
0.2256,2.4951
0.2261,2.4854
0.2266,2.4854
0.2272,2.4902
0.2277,2.4902
0.2282,2.4951
0.2287,2.4951
0.2293,2.4854
0.2298,2.4951
0.2303,2.4854
0.2309,2.4951
0.2314,2.4902
0.2319,2.4951
0.2324,2.4902
0.2329,2.4902
0.2335,2.4854
0.2340,2.4951
0.2345,2.4902
0.2350,2.4902
0.2356,2.4951
0.2361,2.4951
0.2366,2.4951
0.2371,2.4854
0.2376,2.4902
0.2382,2.4805
0.2387,2.4902
0.2392,2.4951
0.2397,2.4951
0.2403,2.4902
0.2408,2.4951
0.2413,2.4805
0.2418,2.4902
0.2424,2.4902
0.2429,2.4902
0.2434,2.4951
0.2439,2.4951
0.2444,2.4951
0.2450,2.4951
0.2455,2.4854
0.2460,2.4902
0.2465,2.4902
0.2471,2.4902
0.2476,2.4902
0.2481,2.4902
0.2486,2.4902
0.2491,2.4951
0.2497,2.4902
0.2502,2.4902
0.2507,2.4805
0.2512,2.4902
0.2518,2.4902
0.2523,2.4902
0.2528,2.4951
0.2533,2.4951
0.2539,2.4902
0.2544,2.4951
0.2549,2.4951
0.2554,2.4902
0.2559,2.4951
0.2565,2.4902
0.2570,2.4902
0.2575,2.4902
0.2580,2.4951
0.2586,2.4951
0.2591,2.4951
0.2596,2.4902
