Время[c], Напряжение[B]
0.0007,3.3301
0.0016,3.3154
0.0022,3.3154
0.0028,3.3105
0.0033,3.3203
0.0039,3.3252
0.0044,3.3301
0.0049,3.3105
0.0055,3.3203
0.0060,3.3154
0.0065,3.3252
0.0071,3.3154
0.0076,3.3105
0.0081,3.3105
0.0086,3.3252
0.0092,3.3203
0.0097,3.3154
0.0102,3.3301
0.0108,3.3301
0.0113,3.3252
0.0119,3.3105
0.0126,3.3203
0.0132,3.3252
0.0137,3.3301
0.0143,3.3252
0.0149,3.3252
0.0155,3.3154
0.0161,3.3252
0.0168,3.3105
0.0174,3.3252
0.0179,3.3252
0.0185,3.3252
0.0191,3.3252
0.0197,3.3154
0.0203,3.3252
0.0209,3.3252
0.0215,3.3154
0.0221,3.3252
0.0227,3.3252
0.0232,3.3154
0.0237,3.3203
0.0243,3.3252
0.0248,3.3252
0.0253,3.3154
0.0258,3.3154
0.0264,3.3203
0.0270,3.3252
0.0276,3.3252
0.0281,3.3203
0.0286,3.3203
0.0292,3.3252
0.0298,3.3252
0.0304,3.3252
0.0309,3.3105
0.0315,3.3154
0.0320,3.3057
0.0326,3.3203
0.0332,3.3252
0.0338,3.3252
0.0345,3.3154
0.0351,3.3252
0.0356,3.3154
0.0362,3.3252
0.0368,3.3203
0.0373,3.3252
0.0379,3.3105
0.0385,3.3252
0.0390,3.3252
0.0396,3.3252
0.0401,3.3252
0.0406,3.3105
0.0411,3.3203
0.0417,3.3252
0.0422,3.3252
0.0427,3.3252
0.0432,3.3203
0.0438,3.3252
0.0443,3.3252
0.0448,3.3252
0.0453,3.3252
0.0459,3.3154
0.0464,3.3105
0.0469,3.3252
0.0475,3.3252
0.0480,3.3203
0.0485,3.3252
0.0490,3.3252
0.0496,3.3252
0.0501,3.3252
0.0506,3.3252
0.0511,3.3203
0.0517,3.3203
0.0522,3.3252
0.0527,3.3252
0.0532,3.3154
0.0537,3.3252
0.0543,3.3252
0.0548,3.3252
0.0553,3.3252
0.0558,3.3252
0.0564,3.3203
0.0569,3.3203
0.0574,3.3252
0.0579,3.3252
0.0584,3.3252
0.0590,3.3252
0.0595,3.3252
0.0600,3.3203
0.0605,3.3203
0.0611,3.3252
0.0616,3.3203
0.0621,3.3252
0.0626,3.3252
0.0632,3.3252
0.0637,3.3203
0.0642,3.3252
0.0647,3.3154
0.0652,3.3105
0.0658,3.3154
0.0663,3.3252
0.0668,3.3203
0.0673,3.3252
0.0679,3.3252
0.0684,3.3252
0.0689,3.3203
0.0694,3.3154
0.0700,3.3252
0.0705,3.3203
0.0710,3.3252
0.0715,3.3203
0.0720,3.3203
0.0726,3.3203
0.0731,3.3203
0.0736,3.3203
0.0741,3.3252
0.0747,3.3301
0.0752,3.3154
0.0757,3.3203
0.0762,3.3252
0.0768,3.3252
0.0773,3.3252
0.0778,3.3252
0.0783,3.3252
0.0789,3.3252
0.0794,3.3203
0.0799,3.3203
0.0804,3.3203
0.0809,3.3252
0.0815,3.3203
0.0820,3.3203
0.0825,3.3203
0.0831,3.3154
0.0836,3.3154
0.0841,3.3154
0.0846,3.3203
0.0852,3.3252
0.0857,3.3203
0.0862,3.3252
0.0867,3.3252
0.0873,3.3154
0.0878,3.3154
0.0883,3.3203
0.0888,3.3252
0.0893,3.3252
0.0899,3.3203
0.0904,3.3252
0.0909,3.3301
0.0914,3.3203
0.0920,3.3203
0.0925,3.3105
0.0930,3.3105
0.0935,3.3154
0.0941,3.3252
0.0946,3.3203
0.0951,3.3203
