Время[c], Напряжение[B]
0.0006,2.5635
0.0011,2.5635
0.0016,2.5586
0.0021,2.5635
0.0027,2.5635
0.0032,2.5684
0.0037,2.5586
0.0042,2.5684
0.0048,2.5684
0.0053,2.5635
0.0058,2.5586
0.0063,2.5635
0.0068,2.5635
0.0074,2.5586
0.0079,2.5635
0.0084,2.5635
0.0089,2.5635
0.0095,2.5684
0.0100,2.5684
0.0105,2.5635
0.0110,2.5635
0.0116,2.5635
0.0121,2.5635
0.0126,2.5635
0.0131,2.5635
0.0136,2.5635
0.0142,2.5635
0.0147,2.5586
0.0153,2.5635
0.0158,2.5684
0.0164,2.5635
0.0169,2.5684
0.0174,2.5684
0.0180,2.5635
0.0185,2.5586
0.0190,2.5586
0.0195,2.5586
0.0200,2.5684
0.0206,2.5684
0.0211,2.5635
0.0216,2.5635
0.0221,2.5635
0.0227,2.5684
0.0232,2.5684
0.0237,2.5684
0.0242,2.5586
0.0248,2.5635
0.0253,2.5732
0.0258,2.5635
0.0263,2.5635
0.0268,2.5635
0.0274,2.5586
0.0279,2.5586
0.0285,2.5635
0.0290,2.5684
0.0296,2.5635
0.0302,2.5635
0.0307,2.5635
0.0313,2.5635
0.0318,2.5635
0.0324,2.5635
0.0329,2.5537
0.0335,2.5684
0.0340,2.5586
0.0345,2.5635
0.0350,2.5684
0.0356,2.5635
0.0361,2.5684
0.0366,2.5586
0.0371,2.5586
0.0377,2.5635
0.0382,2.5684
0.0387,2.5684
0.0393,2.5684
0.0399,2.5635
0.0405,2.5586
0.0411,2.5684
0.0417,2.5635
0.0423,2.5586
0.0430,2.5586
0.0436,2.5684
0.0442,2.5586
0.0447,2.5732
0.0453,2.5684
0.0458,2.5635
0.0464,2.5635
0.0469,2.5635
0.0475,2.5635
0.0480,2.5635
0.0485,2.5586
0.0490,2.5586
0.0496,2.5684
0.0501,2.5586
0.0506,2.5586
0.0511,2.5586
0.0517,2.5635
0.0522,2.5635
0.0527,2.5684
0.0532,2.5635
0.0538,2.5586
0.0543,2.5635
0.0548,2.5635
0.0553,2.5586
0.0558,2.5586
0.0564,2.5635
0.0569,2.5586
0.0574,2.5635
0.0579,2.5635
0.0585,2.5635
0.0590,2.5684
0.0595,2.5537
0.0600,2.5586
0.0606,2.5635
0.0611,2.5635
0.0616,2.5586
0.0621,2.5635
0.0627,2.5586
0.0632,2.5635
0.0637,2.5635
0.0643,2.5586
0.0648,2.5586
0.0653,2.5684
0.0658,2.5635
0.0663,2.5635
0.0669,2.5586
0.0674,2.5586
0.0679,2.5684
0.0685,2.5635
0.0690,2.5635
0.0695,2.5586
0.0700,2.5684
0.0706,2.5586
0.0711,2.5586
0.0716,2.5537
0.0721,2.5635
0.0727,2.5635
0.0732,2.5684
0.0737,2.5635
0.0742,2.5635
0.0747,2.5586
0.0753,2.5635
0.0758,2.5684
0.0763,2.5586
0.0768,2.5586
0.0774,2.5537
0.0779,2.5635
0.0784,2.5684
0.0789,2.5635
0.0794,2.5635
0.0800,2.5684
0.0805,2.5635
0.0810,2.5684
0.0815,2.5586
0.0821,2.5586
0.0826,2.5586
0.0831,2.5684
0.0837,2.5635
0.0842,2.5635
0.0847,2.5586
0.0852,2.5635
0.0857,2.5684
0.0863,2.5635
0.0868,2.5635
0.0873,2.5635
0.0878,2.5635
0.0884,2.5635
0.0889,2.5635
0.0894,2.5635
0.0899,2.5635
0.0904,2.5586
0.0910,2.5586
0.0915,2.5635
0.0920,2.5684
0.0925,2.5635
0.0931,2.5586
0.0936,2.5586
0.0941,2.5635
0.0946,2.5684
0.0952,2.5635
0.0957,2.5684
0.0962,2.5586
0.0967,2.5586
0.0973,2.5635
0.0978,2.5635
0.0983,2.5586
0.0988,2.5586
0.0993,2.5586
0.0999,2.5684
0.1004,2.5635
0.1009,2.5586
0.1014,2.5635
0.1020,2.5635
0.1025,2.5635
0.1030,2.5684
0.1035,2.5635
0.1040,2.5586
0.1046,2.5586
0.1051,2.5586
0.1056,2.5635
0.1061,2.5635
0.1067,2.5635
0.1072,2.5684
0.1077,2.5684
0.1082,2.5635
0.1088,2.5635
0.1093,2.5586
0.1098,2.5537
0.1103,2.5586
0.1108,2.5635
0.1114,2.5635
0.1119,2.5635
0.1124,2.5635
0.1129,2.5635
0.1135,2.5635
0.1140,2.5586
0.1145,2.5635
0.1150,2.5586
0.1155,2.5635
0.1161,2.5635
0.1166,2.5586
0.1171,2.5537
0.1176,2.5586
0.1182,2.5635
0.1187,2.5635
0.1192,2.5635
0.1197,2.5635
0.1203,2.5537
0.1208,2.5586
0.1213,2.5635
0.1218,2.5635
0.1223,2.5586
0.1229,2.5635
0.1234,2.5684
0.1239,2.5684
0.1244,2.5635
0.1250,2.5586
0.1255,2.5635
0.1260,2.5537
0.1265,2.5635
0.1270,2.5684
0.1276,2.5586
0.1281,2.5586
0.1286,2.5537
0.1291,2.5635
0.1297,2.5635
0.1302,2.5635
0.1307,2.5635
0.1312,2.5586
0.1318,2.5635
0.1323,2.5635
0.1328,2.5537
0.1333,2.5586
0.1338,2.5635
0.1344,2.5635
0.1349,2.5635
0.1354,2.5684
0.1359,2.5586
0.1365,2.5635
0.1370,2.5586
0.1375,2.5635
0.1380,2.5684
0.1385,2.5586
0.1391,2.5586
0.1396,2.5586
0.1401,2.5635
0.1406,2.5635
0.1412,2.5635
0.1417,2.5635
0.1422,2.5635
0.1427,2.5586
0.1433,2.5635
0.1438,2.5537
0.1443,2.5635
0.1448,2.5635
0.1453,2.5635
0.1459,2.5635
0.1464,2.5635
0.1469,2.5586
0.1474,2.5635
0.1480,2.5586
0.1485,2.5586
0.1490,2.5537
0.1495,2.5684
0.1501,2.5537
0.1506,2.5537
0.1511,2.5635
0.1516,2.5684
0.1522,2.5635
0.1527,2.5586
0.1532,2.5635
0.1537,2.5586
0.1542,2.5635
0.1548,2.5635
0.1553,2.5586
0.1558,2.5586
0.1563,2.5537
0.1569,2.5586
0.1574,2.5635
0.1579,2.5586
0.1584,2.5635
0.1589,2.5586
0.1595,2.5586
0.1600,2.5586
0.1605,2.5635
0.1610,2.5635
0.1616,2.5635
0.1621,2.5635
0.1626,2.5635
0.1631,2.5635
0.1636,2.5586
0.1642,2.5586
0.1647,2.5537
0.1652,2.5586
0.1657,2.5635
0.1663,2.5586
0.1668,2.5537
0.1673,2.5537
0.1678,2.5635
0.1684,2.5635
0.1689,2.5635
0.1694,2.5635
0.1699,2.5586
0.1704,2.5586
0.1710,2.5586
0.1715,2.5537
0.1720,2.5635
0.1725,2.5635
0.1731,2.5635
0.1736,2.5635
0.1741,2.5635
0.1746,2.5586
0.1751,2.5635
0.1757,2.5586
0.1762,2.5586
0.1767,2.5537
0.1772,2.5635
0.1778,2.5635
0.1783,2.5635
0.1788,2.5635
0.1793,2.5586
0.1799,2.5537
0.1804,2.5635
0.1809,2.5684
0.1814,2.5586
0.1820,2.5635
0.1825,2.5684
0.1830,2.5635
0.1835,2.5635
0.1841,2.5635
0.1846,2.5537
0.1851,2.5537
0.1856,2.5635
0.1861,2.5635
0.1867,2.5635
0.1872,2.5635
0.1877,2.5635
0.1882,2.5635
0.1888,2.5635
0.1893,2.5635
0.1898,2.5635
0.1903,2.5586
0.1909,2.5635
0.1914,2.5635
0.1919,2.5635
0.1924,2.5635
0.1929,2.5635
0.1935,2.5635
0.1940,2.5635
0.1945,2.5684
0.1950,2.5635
0.1956,2.5635
0.1961,2.5586
0.1966,2.5586
0.1971,2.5635
0.1979,2.5635
0.1985,2.5635
0.1990,2.5635
0.1995,2.5635
0.2000,2.5635
0.2005,2.5635
0.2011,2.5586
0.2016,2.5635
0.2021,2.5635
0.2026,2.5537
0.2032,2.5635
0.2037,2.5635
0.2042,2.5635
0.2047,2.5586
0.2052,2.5537
0.2058,2.5586
0.2063,2.5635
0.2068,2.5635
0.2073,2.5635
0.2078,2.5537
0.2084,2.5635
0.2089,2.5635
0.2094,2.5586
0.2099,2.5586
0.2105,2.5635
0.2110,2.5635
0.2115,2.5635
0.2120,2.5635
0.2125,2.5635
0.2131,2.5635
0.2136,2.5635
0.2141,2.5635
0.2146,2.5635
0.2152,2.5586
0.2157,2.5635
0.2162,2.5635
0.2167,2.5635
0.2173,2.5635
0.2178,2.5635
0.2183,2.5635
0.2188,2.5684
0.2194,2.5635
0.2199,2.5586
0.2204,2.5586
0.2209,2.5635
0.2214,2.5586
0.2220,2.5635
0.2225,2.5635
0.2230,2.5635
0.2235,2.5635
0.2240,2.5586
0.2246,2.5635
0.2251,2.5635
0.2256,2.5635
0.2261,2.5586
